기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,상권업종소분류명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수,자치구,행정동
2022,4,R,전통시장,2130260,신대방1동골목상권,CS300010,반찬가게,11589121,452,71,29,0,46,8,2,14,0,29,0,0,57,0,39,4,75,25,0,35,0,25,29,11,8185227,3403894,0,5365968,942328,229145,1647786,0,3403894,0,0,6608888,0,4547689,432544,3399111,1137358,0,1589121,0,1137358,1300206,509784,279,173,0,176,51,26,26,0,173,0,0,223,0,203,26,230,75,0,101,0,75,103,26,3,동작구,신대방1동
2022,4,R,전통시장,2130260,신대방1동골목상권,CS300001,슈퍼마켓,33538985,2741,71,29,15,14,14,15,13,19,11,0,4,24,28,39,5,49,51,5,8,20,12,22,33,23715251,9823734,5004187,4612293,4837444,4932592,4328735,6266540,3557194,0,1303803,8089413,9485535,13011641,1648593,16520220,17018765,1763105,2594432,6823866,3985098,7254055,11118429,1913,828,433,387,339,367,387,536,292,0,104,603,688,1091,255,1514,1227,211,268,632,221,632,777,6,동작구,신대방1동
2022,4,R,전통시장,2130260,신대방1동골목상권,CS200037,노래방,114697890,1042,60,40,23,8,12,9,8,23,17,53,0,0,0,9,38,92,8,0,5,16,26,38,16,69103709,45594181,26156259,9393534,13923365,10063239,9567312,26246427,19347754,60238895,0,239868,386883,10756720,43075524,95529549,8196280,7738,5047878,16372966,26427450,39815494,16054304,647,395,119,101,119,125,183,248,147,467,0,15,16,158,386,813,196,8,155,141,308,332,62,5,동작구,신대방1동
2022,4,R,전통시장,2130260,신대방1동골목상권,CS200028,미용실,194408802,5912,66,34,13,11,12,14,16,22,13,0,2,26,40,32,0,50,50,1,17,27,18,22,14,128302540,66106262,25698572,20645516,23886205,27702096,30370151,41747141,24359121,0,3926376,51238393,78010293,61233740,0,96510788,97898014,2641760,32602465,53214767,34779463,43103149,28067198,3715,2197,881,445,679,895,815,1383,814,0,216,1546,2376,1774,0,3800,2112,118,950,1386,1466,1319,673,9,동작구,신대방1동
2022,4,R,전통시장,2130260,신대방1동골목상권,CS200006,일반의원,1453381938,39265,82,18,19,16,12,17,19,18,0,0,25,35,31,9,0,45,55,0,6,13,14,34,33,1188284705,265097233,273278690,232416738,175127865,239255289,268206123,265097233,0,0,361543770,514524095,452277454,125036619,0,650907639,802474299,4115932,86446308,191891773,197574191,493867830,479485904,33158,6107,6821,6820,4533,6967,8017,6107,0,0,11647,11375,13285,2958,0,18925,20340,212,2434,4888,6181,10607,14943,5,동작구,신대방1동
2022,4,R,전통시장,2130260,신대방1동골목상권,CS100010,커피-음료,139381624,30274,68,32,13,12,14,14,14,16,16,0,22,33,21,21,4,36,64,1,33,28,18,16,5,94561702,44819922,18437180,17305925,19152218,19667530,19998849,22140486,22679436,0,30945108,45399496,29329351,28731764,4975905,48164562,87149563,1059781,44568215,37347179,23640688,21516825,7181436,20164,10110,3851,3835,4336,4217,3925,4969,5141,0,7523,9463,6204,6159,925,11185,18670,294,10737,8224,4773,4297,1530,3,동작구,신대방1동
2022,4,R,전통시장,2130260,신대방1동골목상권,CS100009,호프-간이주점,3125735,113,57,43,7,0,21,4,25,36,7,0,0,0,0,84,16,84,16,0,0,0,0,72,28,1782093,1343642,212154,0,664749,127292,777898,1131488,212154,0,0,0,0,2630709,495026,2630709,495026,0,0,0,0,2248832,876903,85,28,15,0,28,14,28,14,14,0,0,0,0,99,14,99,14,0,0,0,0,56,57,3,동작구,신대방1동
2022,4,R,전통시장,2130260,신대방1동골목상권,CS100008,분식전문점,367635800,33148,69,32,13,14,15,13,14,15,16,3,15,35,14,25,9,48,52,1,27,20,16,22,14,251802498,115833302,48711531,50918035,53851780,46339914,51981238,55602944,60230358,9838050,56496738,129301465,49458443,91038894,31502210,162748480,178858469,2910230,90519219,67981463,55506062,75856940,48833036,22734,10414,4300,4754,5400,3996,4284,4958,5456,392,5580,10929,4778,8601,2868,14136,18011,372,10885,6858,4546,5868,3619,11,동작구,신대방1동
2022,4,R,전통시장,2130260,신대방1동골목상권,CS100007,치킨전문점,23876379,1267,64,36,12,10,11,16,16,17,19,11,0,1,6,54,29,49,51,5,34,8,12,23,19,15261070,8615309,2772558,2356534,2646912,3788324,3696742,4163024,4452285,2538021,0,134021,1401635,12996675,6806027,11723978,12152401,1245580,8024594,1919616,2824776,5432281,4429532,845,422,134,101,190,201,219,244,178,56,0,17,100,814,280,676,591,61,288,125,186,264,343,3,동작구,신대방1동
2022,4,R,전통시장,2130260,신대방1동골목상권,CS100005,제과점,198274932,19630,64,36,12,9,13,14,16,24,12,0,7,22,18,39,15,47,53,1,18,24,23,23,12,127490048,70784884,24326489,18696004,25606315,26730918,32130322,47975838,22809046,0,13220740,43900143,35296157,76991908,28865984,89233338,99186727,905186,33223570,45266441,43566288,42329519,23129061,12652,6978,2545,2288,2568,2357,2894,4550,2428,0,1354,4248,3898,7585,2545,8289,11060,165,4741,5154,4549,3088,1653,5,동작구,신대방1동
